iter	RMSE
0	14.55160627
1	14.17471195
2	13.82440897
3	13.51610246
4	13.19251315
5	12.89951456
6	12.59884369
7	12.35119943
8	12.10809166
9	11.81323249
10	11.56562559
11	11.32964342
12	11.08977939
13	10.85673714
14	10.60819778
15	10.39135457
16	10.20374066
17	10.00862863
18	9.820800641
19	9.643724274
20	9.490126271
21	9.30671544
22	9.135369082
23	8.960008306
24	8.815849406
25	8.674798094
26	8.540022417
27	8.401926993
28	8.27360277
29	8.151826395
30	8.041606765
31	7.931297719
32	7.828140493
33	7.726558305
34	7.630770574
35	7.5439695
36	7.455946132
37	7.359377292
38	7.269231872
39	7.192806035
40	7.109273626
41	7.026215375
42	6.944250823
43	6.873044263
44	6.806084123
45	6.750769826
46	6.69601077
47	6.633109946
48	6.56668056
49	6.515823041
50	6.457548568
51	6.406740788
52	6.352927326
53	6.306032769
54	6.261130362
55	6.210622164
56	6.16565238
57	6.126252879
58	6.090865415
59	6.053436124
60	6.018962806
61	5.987083091
62	5.958220866
63	5.920806242
64	5.892471332
65	5.862728424
66	5.835060125
67	5.804562907
68	5.778891062
69	5.752631626
70	5.727751802
71	5.701587787
72	5.682948707
73	5.660384675
74	5.637759093
75	5.612727293
76	5.591694563
77	5.568088392
78	5.555107649
79	5.537481005
80	5.52654059
81	5.506941603
82	5.48944529
83	5.475187743
84	5.466192834
85	5.449725054
86	5.435245596
87	5.419796176
88	5.407235405
89	5.390704417
90	5.373252258
91	5.363424292
92	5.350575985
93	5.338408159
94	5.326706278
95	5.312587134
96	5.29973801
97	5.289975604
98	5.280859804
99	5.267532592
100	5.260263319
101	5.248975373
102	5.237435492
103	5.226281565
104	5.217835279
105	5.20878483
106	5.199873081
107	5.19151647
108	5.182404149
109	5.1724771
110	5.165910828
111	5.157184506
112	5.150752226
113	5.144126881
114	5.137874376
115	5.131772342
116	5.125288299
117	5.120013994
118	5.111924862
119	5.102589453
120	5.09627958
121	5.089425815
122	5.081999304
123	5.072831554
124	5.068194215
125	5.064022418
126	5.057493925
127	5.052169922
128	5.044358711
129	5.039822296
130	5.034523856
131	5.031372927
132	5.026515495
133	5.022603425
134	5.017175317
